"Rock Wrecker",ROCK,PHYSICAL,150,90%,5-8,"If this move is successful, the user must recharge on the following turn and cannot select a move."
"Role Play",PSYCHIC,STATUS,n/a,—,10-16,"The user's Ability changes to match the target's Ability. Fails if the user's Ability is As One, Battle Bond, Comatose, Disguise, Gulp Missile, Ice Face, Multitype, Power Construct, RKS System, Schooling, Shields Down, Stance Change, Tera Shift, Zen Mode, Zero to Hero, or already matches the target, or if the target's Ability is As One, Battle Bond, Comatose, Commander, Disguise, Embody Aspect, Flower Gift, Forecast, Hunger Switch, Ice Face, Illusion, Imposter, Multitype, Neutralizing Gas, Poison Puppeteer, Power Construct, Power of Alchemy, Protosynthesis, Quark Drive, Receiver, RKS System, Schooling, Shields Down, Stance Change, Tera Shell, Tera Shift, Teraform Zero, Trace, Wonder Guard, Zen Mode, or Zero to Hero."
"Rolling Kick",FIGHTING,PHYSICAL,60,85%,15-24,"Has a 30% chance to make the target flinch."
"Rollout",ROCK,PHYSICAL,30,90%,20-32,"If this move is successful, the user is locked into this move and cannot make another move until it misses, 5 turns have passed, or the attack cannot be used. Power doubles with each successful hit of this move and doubles again if Defense Curl was used previously by the user. If this move is called by Sleep Talk, the move is used for one turn."
"Roost",FLYING,STATUS,n/a,—,5-8,"The user restores 1/2 of its maximum HP, rounded half up. If the user is not Terastallized, until the end of the turn Flying-type users lose their Flying type and pure Flying-type users become Normal type. Does nothing if the user's HP is full."
"Rototiller",GROUND,STATUS,n/a,—,10-16,"Raises the Attack and Special Attack of all grounded Grass-type Pokemon on the field by 1 stage."
"Round",NORMAL,SPECIAL,60,100%,15-24,"If there are other active Pokemon that chose this move for use this turn, those Pokemon take their turn immediately after the user, in Speed order, and this move's power is 120 for each other user."
"Ruination",DARK,SPECIAL,—,90%,10-16,"Deals damage to the target equal to half of its current HP, rounded down, but not less than 1 HP."
"Sacred Fire",FIRE,PHYSICAL,100,95%,5-8,"Has a 50% chance to burn the target."
"Sacred Sword",FIGHTING,PHYSICAL,90,100%,15-24,"Ignores the target's stat stage changes, including evasiveness."
"Safeguard",NORMAL,STATUS,n/a,—,25-40,"For 5 turns, the user and its party members cannot have non-volatile status conditions or confusion inflicted on them by other Pokemon. Pokemon on the user's side cannot become affected by Yawn but can fall asleep from its effect. It is removed from the user's side if the user or an ally is successfully hit by Defog. Fails if the effect is already active on the user's side."
"Salt Cure",ROCK,PHYSICAL,40,100%,15-24,"Causes damage to the target equal to 1/8 of its maximum HP (1/4 if the target is Steel or Water type), rounded down, at the end of each turn during effect. This effect ends when the target is no longer active."
"Sand Attack",GROUND,STATUS,n/a,100%,15-24,"Lowers the target's accuracy by 1 stage."
"Sandsear Storm",GROUND,SPECIAL,100,80%,10-16,"Has a 20% chance to burn the target. If the weather is Primordial Sea or Rain Dance, this move does not check accuracy. If this move is used against a Pokemon holding Utility Umbrella, this move's accuracy remains at 80%."
"Sandstorm",ROCK,STATUS,n/a,—,10-16,"For 5 turns, the weather becomes Sandstorm. At the end of each turn except the last, all active Pokemon lose 1/16 of their maximum HP, rounded down, unless they are a Ground, Rock, or Steel type, or have the Magic Guard, Overcoat, Sand Force, Sand Rush, or Sand Veil Abilities. During the effect, the Special Defense of Rock-type Pokemon is multiplied by 1.5 when taking damage from a special attack. Lasts for 8 turns if the user is holding Smooth Rock. Fails if the current weather is Sandstorm."
"Sand Tomb",GROUND,PHYSICAL,35,85%,15-24,"Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move."
"Sappy Seed",GRASS,PHYSICAL,100,90%,10-16,"This move summons Leech Seed on the foe."
"Savage Spin-Out",BUG,PHYSICAL,1,—,1,"[Z-Move] requiring Buginium Z"
"Scald",WATER,SPECIAL,80,100%,15-24,"Has a 30% chance to burn the target. The target thaws out if it is frozen."
"Scale Shot",DRAGON,PHYSICAL,25,90%,20-32,"Hits two to five times. Lowers the user's Defense by 1 stage and raises the user's Speed by 1 stage after the last hit. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times."
"Scary Face",NORMAL,STATUS,n/a,100%,10-16,"Lowers the target's Speed by 2 stages."
"Scorching Sands",GROUND,SPECIAL,70,100%,10-16,"Has a 30% chance to burn the target. The target thaws out if it is frozen."
"Scratch",NORMAL,PHYSICAL,40,100%,35-56,"No additional effect."
"Screech",NORMAL,STATUS,n/a,85%,40-64,"Lowers the target's Defense by 2 stages."
"Searing Shot",FIRE,SPECIAL,100,100%,5-8,"Has a 30% chance to burn the target."
"Searing Sunraze Smash",STEEL,PHYSICAL,200,—,1,"[Z-Move] requiring Solganium Z"
"Secret Power",NORMAL,PHYSICAL,70,100%,20-32,"Has a 30% chance to cause a secondary effect on the target based on the battle terrain. Causes paralysis on the regular Wi-Fi terrain, causes paralysis during Electric Terrain, lowers Special Attack by 1 stage during Misty Terrain, causes sleep during Grassy Terrain and lowers Speed by 1 stage during Psychic Terrain."
"Secret Sword",FIGHTING,SPECIAL,85,100%,10-16,"Deals damage to the target based on its Defense instead of Special Defense."
"Seed Bomb",GRASS,PHYSICAL,80,100%,15-24,"No additional effect."
"Seed Flare",GRASS,SPECIAL,120,85%,5-8,"Has a 40% chance to lower the target's Special Defense by 2 stages."
"Seismic Toss",FIGHTING,PHYSICAL,—,100%,20-32,"Deals damage to the target equal to the user's level."
"Self-Destruct",NORMAL,PHYSICAL,200,100%,5-8,"The user faints after using this move, even if this move fails for having no target. This move is prevented from executing if any active Pokemon has the Damp Ability."
"Shadow Ball",GHOST,SPECIAL,80,100%,15-24,"Has a 20% chance to lower the target's Special Defense by 1 stage."
"Shadow Bone",GHOST,PHYSICAL,85,100%,10-16,"Has a 20% chance to lower the target's Defense by 1 stage."
"Shadow Claw",GHOST,PHYSICAL,70,100%,15-24,"Has a higher chance for a critical hit."
"Shadow Force",GHOST,PHYSICAL,120,100%,5-8,"If this move is successful, it breaks through the target's Baneful Bunker, Detect, King's Shield, Protect, or Spiky Shield for this turn, allowing other Pokemon to attack the target normally. If the target's side is protected by Crafty Shield, Mat Block, Quick Guard, or Wide Guard, that protection is also broken for this turn and other Pokemon may attack the target's side normally. This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks. If the user is holding a Power Herb, the move completes in one turn."
"Shadow Punch",GHOST,PHYSICAL,60,—,20-32,"This move does not check accuracy."
"Shadow Sneak",GHOST,PHYSICAL,40,100%,30-48,"Usually moves first (priority +1)."
"Shadow Strike",GHOST,PHYSICAL,80,95%,10-16,"Has a 50% chance to lower the target's Defense by 1 stage."
"Sharpen",NORMAL,STATUS,n/a,—,30-48,"Raises the user's Attack by 1 stage."
"Shattered Psyche",PSYCHIC,PHYSICAL,1,—,1,"[Z-Move] requiring Psychium Z"
"Shed Tail",NORMAL,STATUS,n/a,—,10-16,"The user takes 1/2 of its maximum HP, rounded up, and creates a substitute that has 1/4 of the user's maximum HP, rounded down. The user is replaced with another Pokemon in its party and the selected Pokemon has the substitute transferred to it. Fails if the user would faint, or if there are no unfainted party members."
"Sheer Cold",ICE,SPECIAL,—,30%,5-8,"Deals damage to the target equal to the target's maximum HP. Ignores accuracy and evasiveness modifiers. This attack's accuracy is equal to (user's level - target's level + X)%, where X is 30 if the user is an Ice type and 20 otherwise, and fails if the target is at a higher level. Ice-type Pokemon and Pokemon with the Sturdy Ability are immune."
"Shell Side Arm",POISON,SPECIAL,90,100%,10-16,"Has a 20% chance to poison the target. This move becomes a physical attack that makes contact if the value of ((((2 * the user's level / 5 + 2) * 90 * X) / Y) / 50), where X is the user's Attack stat and Y is the target's Defense stat, is greater than the same value where X is the user's Special Attack stat and Y is the target's Special Defense stat. No stat modifiers other than stat stage changes are considered for this purpose. If the two values are equal, this move chooses a damage category at random."
"Shell Smash",NORMAL,STATUS,n/a,—,15-24,"Lowers the user's Defense and Special Defense by 1 stage. Raises the user's Attack, Special Attack, and Speed by 2 stages."
"Shell Trap",FIRE,SPECIAL,150,100%,5-8,"Nearly always moves last (priority −3)."
"Shelter",STEEL,STATUS,n/a,—,10-16,"Raises the user's Defense by 2 stages."
"Shift Gear",STEEL,STATUS,n/a,—,10-16,"Raises the user's Speed by 2 stages and its Attack by 1 stage."
"Shock Wave",ELECTRIC,SPECIAL,60,—,20-32,"This move does not check accuracy."
"Shore Up",GROUND,STATUS,n/a,—,5-8,"The user restores 1/2 of its maximum HP, rounded half down. If the weather is Sandstorm, the user instead restores 2/3 of its maximum HP, rounded half down."
"Signal Beam",BUG,SPECIAL,75,100%,15-24,"Has a 10% chance to confuse the target."
"Silk Trap",BUG,STATUS,n/a,—,10-16,"Nearly always moves first (priority +4)."
"Silver Wind",BUG,SPECIAL,60,100%,5-8,"Has a 10% chance to raise the user's Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage."
"Simple Beam",NORMAL,STATUS,n/a,100%,15-24,"Causes the target's Ability to become Simple. Fails if the target's Ability is As One, Battle Bond, Comatose, Disguise, Gulp Missile, Ice Face, Multitype, Power Construct, RKS System, Schooling, Shields Down, Simple, Stance Change, Tera Shift, Truant, Zen Mode, or Zero to Hero."
"Sing",NORMAL,STATUS,n/a,55%,15-24,"Causes the target to fall asleep."
"Sinister Arrow Raid",GHOST,PHYSICAL,180,—,1,"[Z-Move] requiring Decidium Z"
"Sizzly Slide",FIRE,PHYSICAL,60,100%,20-32,"Has a 100% chance to burn the foe."
"Sketch",NORMAL,STATUS,n/a,—,1,"This move is permanently replaced by the last move used by the target. The copied move has the maximum PP for that move. Fails if the target has not made a move, if the user has Transformed, or if the move is Chatter, Sketch, Struggle, or any move the user knows."
"Skill Swap",PSYCHIC,STATUS,n/a,—,10-16,"The user swaps its Ability with the target's Ability. Fails if either the user or the target's Ability is As One, Battle Bond, Comatose, Commander, Disguise, Embody Aspect, Hunger Switch, Ice Face, Illusion, Multitype, Neutralizing Gas, Poison Puppeteer, Power Construct, Protosynthesis, Quark Drive, RKS System, Schooling, Shields Down, Stance Change, Tera Shell, Tera Shift, Teraform Zero, Wonder Guard, Zen Mode, or Zero to Hero."
"Skitter Smack",BUG,PHYSICAL,70,90%,10-16,"Has a 100% chance to lower the target's Special Attack by 1 stage."
"Skull Bash",NORMAL,PHYSICAL,130,100%,10-16,"This attack charges on the first turn and executes on the second. Raises the user's Defense by 1 stage on the first turn. If the user is holding a Power Herb, the move completes in one turn."
"Sky Attack",FLYING,PHYSICAL,140,90%,5-8,"Has a 30% chance to make the target flinch and a higher chance for a critical hit. This attack charges on the first turn and executes on the second. If the user is holding a Power Herb, the move completes in one turn."
"Sky Drop",FLYING,PHYSICAL,60,100%,10-16,"This attack takes the target into the air with the user on the first turn and executes on the second. Pokemon weighing 200 kg or more cannot be lifted. On the first turn, the user and the target avoid all attacks other than Gust, Hurricane, Sky Uppercut, Smack Down, Thousand Arrows, Thunder, and Twister. The user and the target cannot make a move between turns, but the target can select a move to use. This move cannot damage Flying-type Pokemon. Fails on the first turn if the target is an ally, if the target has a substitute, or if the target is using Bounce, Dig, Dive, Fly, Phantom Force, Shadow Force, or Sky Drop."
"Sky Uppercut",FIGHTING,PHYSICAL,85,90%,15-24,"This move can hit a target using Bounce, Fly, or Sky Drop, or is under the effect of Sky Drop."
"Slack Off",NORMAL,STATUS,n/a,—,5-8,"The user restores 1/2 of its maximum HP, rounded half up."
"Slam",NORMAL,PHYSICAL,80,75%,20-32,"No additional effect."
"Slash",NORMAL,PHYSICAL,70,100%,20-32,"Has a higher chance for a critical hit."
"Sleep Powder",GRASS,STATUS,n/a,75%,15-24,"Causes the target to fall asleep."
"Sleep Talk",NORMAL,STATUS,n/a,—,10-16,"One of the user's known moves, besides this move, is selected for use at random. Fails if the user is not asleep. The selected move does not have PP deducted from it, and can currently have 0 PP. This move cannot select Assist, Beak Blast, Belch, Bide, Blazing Torque, Celebrate, Chatter, Combat Torque, Copycat, Dynamax Cannon, Focus Punch, Hold Hands, Magical Torque, Me First, Metronome, Mimic, Mirror Move, Nature Power, Noxious Torque, Shell Trap, Sketch, Sleep Talk, Struggle, Uproar, Wicked Torque, or any two-turn move."
"Sludge",POISON,SPECIAL,65,100%,20-32,"Has a 30% chance to poison the target."
"Sludge Bomb",POISON,SPECIAL,90,100%,10-16,"Has a 30% chance to poison the target."
"Sludge Wave",POISON,SPECIAL,95,100%,10-16,"Has a 10% chance to poison the target."
"Smack Down",ROCK,PHYSICAL,50,100%,15-24,"This move can hit a target using Bounce, Fly, or Sky Drop, or is under the effect of Sky Drop. If this move hits a target under the effect of Bounce, Fly, Magnet Rise, or Telekinesis, the effect ends. If the target is a Flying type that has not used Roost this turn or a Pokemon with the Levitate Ability, it loses its immunity to Ground-type attacks and the Arena Trap Ability as long as it remains active. During the effect, Magnet Rise fails for the target and Telekinesis fails against the target."
"Smart Strike",STEEL,PHYSICAL,70,—,10-16,"This move does not check accuracy."
"Smelling Salts",NORMAL,PHYSICAL,70,100%,10-16,"Power doubles if the target is paralyzed. If the user has not fainted, the target is cured of paralysis."
"Smog",POISON,SPECIAL,30,70%,20-32,"Has a 40% chance to poison the target."
"Smokescreen",NORMAL,STATUS,n/a,100%,20-32,"Lowers the target's accuracy by 1 stage."
"Snap Trap",GRASS,PHYSICAL,35,100%,15-24,"Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move."
"Snarl",DARK,SPECIAL,55,95%,15-24,"Has a 100% chance to lower the target's Special Attack by 1 stage."
"Snatch",DARK,STATUS,n/a,—,10-16,"Nearly always moves first (priority +4)."
"Snipe Shot",WATER,SPECIAL,80,100%,15-24,"Has a higher chance for a critical hit. This move cannot be redirected to a different target by any effect."
"Snore",NORMAL,SPECIAL,50,100%,15-24,"Has a 30% chance to make the target flinch. Fails if the user is not asleep."
"Snowscape",ICE,STATUS,n/a,—,10-16,"For 5 turns, the weather becomes Snow. During the effect, the Defense of Ice-type Pokemon is multiplied by 1.5 when taking damage from a physical attack. Lasts for 8 turns if the user is holding Icy Rock. Fails if the current weather is Snow."
"Soak",WATER,STATUS,n/a,100%,20-32,"Causes the target to become a Water type. Fails if the target is an Arceus or a Silvally, if the target is already purely Water type, or if the target is Terastallized."
"Soft-Boiled",NORMAL,STATUS,n/a,—,5-8,"The user restores 1/2 of its maximum HP, rounded half up."
"Solar Beam",GRASS,SPECIAL,120,100%,10-16,"This attack charges on the first turn and executes on the second. Power is halved if the weather is Primordial Sea, Rain Dance, Sandstorm, or Snow and the user is not holding Utility Umbrella. If the user is holding a Power Herb or the weather is Desolate Land or Sunny Day, the move completes in one turn. If the user is holding Utility Umbrella and the weather is Desolate Land or Sunny Day, the move still requires a turn to charge."
"Solar Blade",GRASS,PHYSICAL,125,100%,10-16,"This attack charges on the first turn and executes on the second. Power is halved if the weather is Hail, Primordial Sea, Rain Dance, or Sandstorm and the user is not holding Utility Umbrella. If the user is holding a Power Herb or the weather is Desolate Land or Sunny Day, the move completes in one turn. If the user is holding Utility Umbrella and the weather is Desolate Land or Sunny Day, the move still requires a turn to charge."
"Sonic Boom",NORMAL,SPECIAL,—,90%,20-32,"Deals 20 HP of damage to the target."
"Soul-Stealing 7-Star Strike",GHOST,PHYSICAL,195,—,1,"[Z-Move] requiring Marshadium Z"
"Spacial Rend",DRAGON,SPECIAL,100,95%,5-8,"Has a higher chance for a critical hit."
"Spark",ELECTRIC,PHYSICAL,65,100%,20-32,"Has a 30% chance to paralyze the target."
"Sparkling Aria",WATER,SPECIAL,90,100%,10-16,"If the user has not fainted, the target is cured of its burn."
"Sparkly Swirl",FAIRY,SPECIAL,120,85%,5-8,"Every Pokemon in the user's party is cured of its non-volatile status condition."
"Spectral Thief",GHOST,PHYSICAL,90,100%,10-16,"The target's stat stages greater than 0 are stolen from it and applied to the user before dealing damage."
"Speed Swap",PSYCHIC,STATUS,n/a,—,10-16,"The user swaps its Speed stat with the target. Stat stage changes are unaffected."
"Spicy Extract",GRASS,STATUS,n/a,—,15-24,"Raises the target's Attack by 2 stages and lowers its Defense by 2 stages."
"Spider Web",BUG,STATUS,n/a,—,10-16,"Prevents the target from switching out. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. If the target leaves the field using Baton Pass, the replacement will remain trapped. The effect ends if the user leaves the field."
"Spike Cannon",NORMAL,PHYSICAL,20,100%,15-24,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times."
"Spikes",GROUND,STATUS,n/a,—,20-32,"Sets up a hazard on the opposing side of the field, damaging each opposing Pokemon that switches in, unless it is a Flying-type Pokemon or has the Levitate Ability. Can be used up to three times before failing. Opponents lose 1/8 of their maximum HP with one layer, 1/6 of their maximum HP with two layers, and 1/4 of their maximum HP with three layers, all rounded down. Can be removed from the opposing side if any opposing Pokemon uses Mortal Spin, Rapid Spin, or Defog successfully, or is hit by Defog."
"Spiky Shield",GRASS,STATUS,n/a,—,10-16,"Nearly always moves first (priority +4)."
"Spin Out",STEEL,PHYSICAL,100,100%,5-8,"Lowers the user's Speed by 2 stages."
"Spirit Break",FAIRY,PHYSICAL,75,100%,15-24,"Has a 100% chance to lower the target's Special Attack by 1 stage."
"Spirit Shackle",GHOST,PHYSICAL,80,100%,10-16,"Prevents the target from switching out. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. If the target leaves the field using Baton Pass, the replacement will remain trapped. The effect ends if the user leaves the field."
"Spit Up",NORMAL,SPECIAL,—,100%,10-16,"Power is equal to 100 times the user's Stockpile count. Fails if the user's Stockpile count is 0. Whether or not this move is successful, the user's Defense and Special Defense decrease by as many stages as Stockpile had increased them, and the user's Stockpile count resets to 0."
"Spite",GHOST,STATUS,n/a,100%,10-16,"Causes the target's last move used to lose 4 PP. Fails if the target has not made a move, if the move has 0 PP, or if it no longer knows the move."
"Splash",NORMAL,STATUS,n/a,—,40-64,"No competitive use."
"Splintered Stormshards",ROCK,PHYSICAL,190,—,1,"[Z-Move] requiring Lycanium Z"
"Splishy Splash",WATER,SPECIAL,90,100%,15-24,"Has a 30% chance to paralyze the target."
"Spore",GRASS,STATUS,n/a,100%,15-24,"Causes the target to fall asleep."
"Spotlight",NORMAL,STATUS,n/a,—,15-24,"Nearly always moves first (priority +3)."
"Springtide Storm",FAIRY,SPECIAL,100,80%,5-8,"Has a 30% chance to lower the target's Attack by 1 stage."
"Stealth Rock",ROCK,STATUS,n/a,—,20-32,"Sets up a hazard on the opposing side of the field, damaging each opposing Pokemon that switches in. Fails if the effect is already active on the opposing side. Foes lose 1/32, 1/16, 1/8, 1/4, or 1/2 of their maximum HP, rounded down, based on their weakness to the Rock type; 0.25x, 0.5x, neutral, 2x, or 4x, respectively. Can be removed from the opposing side if any opposing Pokemon uses Mortal Spin, Rapid Spin, or Defog successfully, or is hit by Defog."
"Steam Eruption",WATER,SPECIAL,110,95%,5-8,"Has a 30% chance to burn the target. The target thaws out if it is frozen."
"Steamroller",BUG,PHYSICAL,65,100%,20-32,"Has a 30% chance to make the target flinch. Damage doubles and no accuracy check is done if the target has used Minimize while active."
"Steel Beam",STEEL,SPECIAL,140,95%,5-8,"Whether or not this move is successful and even if it would cause fainting, the user loses 1/2 of its maximum HP, rounded up, unless the user has the Magic Guard Ability."
"Steel Roller",STEEL,PHYSICAL,130,100%,5-8,"Fails if there is no terrain active. Ends the effects of Electric Terrain, Grassy Terrain, Misty Terrain, and Psychic Terrain."
"Steel Wing",STEEL,PHYSICAL,70,90%,25-40,"Has a 10% chance to raise the user's Defense by 1 stage."
"Sticky Web",BUG,STATUS,n/a,—,20-32,"Sets up a hazard on the opposing side of the field, lowering the Speed by 1 stage of each opposing Pokemon that switches in, unless it is a Flying-type Pokemon or has the Levitate Ability. Fails if the effect is already active on the opposing side. Can be removed from the opposing side if any opposing Pokemon uses Mortal Spin, Rapid Spin, or Defog successfully, or is hit by Defog."
"Stockpile",NORMAL,STATUS,n/a,—,20-32,"Raises the user's Defense and Special Defense by 1 stage. The user's Stockpile count increases by 1. Fails if the user's Stockpile count is 3. The user's Stockpile count is reset to 0 when it is no longer active."
"Stoked Sparksurfer",ELECTRIC,SPECIAL,175,—,1,"[Z-Move] requiring Aloraichium Z"
"Stomp",NORMAL,PHYSICAL,65,100%,20-32,"Has a 30% chance to make the target flinch. Damage doubles and no accuracy check is done if the target has used Minimize while active."
"Stomping Tantrum",GROUND,PHYSICAL,75,100%,10-16,"Power doubles if the user's last move on the previous turn, including moves called by other moves or those used through Instruct, Magic Coat, Snatch, or the Dancer or Magic Bounce Abilities, failed to do any of its normal effects, not including damage from an unsuccessful High Jump Kick, Jump Kick, or Mind Blown, or if the user was prevented from moving by any effect other than recharging or Sky Drop. A move that was blocked by Baneful Bunker, Detect, King's Shield, Protect, Spiky Shield, Crafty Shield, Mat Block, Quick Guard, or Wide Guard will not double this move's power, nor will Bounce or Fly ending early due to the effect of Gravity, Smack Down, or Thousand Arrows."
"Stone Axe",ROCK,PHYSICAL,65,90%,15-24,"If this move is successful, it sets up a hazard on the opposing side of the field, damaging each opposing Pokemon that switches in. Foes lose 1/32, 1/16, 1/8, 1/4, or 1/2 of their maximum HP, rounded down, based on their weakness to the Rock type; 0.25x, 0.5x, neutral, 2x, or 4x, respectively. Can be removed from the opposing side if any opposing Pokemon uses Mortal Spin, Rapid Spin, or Defog successfully, or is hit by Defog."
"Stone Edge",ROCK,PHYSICAL,100,80%,5-8,"Has a higher chance for a critical hit."
"Stored Power",PSYCHIC,SPECIAL,20,100%,10-16,"Power is equal to 20+(X*20), where X is the user's total stat stage changes that are greater than 0."
"Storm Throw",FIGHTING,PHYSICAL,60,100%,10-16,"This move is always a critical hit unless the target is under the effect of Lucky Chant or has the Battle Armor or Shell Armor Abilities."
"Strange Steam",FAIRY,SPECIAL,90,95%,10-16,"Has a 20% chance to confuse the target."
"Strength",NORMAL,PHYSICAL,80,100%,15-24,"No additional effect."
"Strength Sap",GRASS,STATUS,n/a,100%,10-16,"Lowers the target's Attack by 1 stage. The user restores its HP equal to the target's Attack stat calculated with its stat stage before this move was used. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down. Fails if the target's Attack stat stage is -6."
"String Shot",BUG,STATUS,n/a,95%,40-64,"Lowers the target's Speed by 2 stages."
"Struggle",NORMAL,PHYSICAL,50,—,1,"Deals typeless damage to a random opposing Pokemon. If this move was successful, the user loses 1/4 of its maximum HP, rounded half up, and the Rock Head Ability does not prevent this. This move is automatically used if none of the user's known moves can be selected."
"Struggle Bug",BUG,SPECIAL,50,100%,20-32,"Has a 100% chance to lower the target's Special Attack by 1 stage."
"Stuff Cheeks",NORMAL,STATUS,n/a,—,10-16,"This move cannot be selected unless the user is holding a Berry. The user eats its Berry and raises its Defense by 2 stages. This effect is not prevented by the Klutz or Unnerve Abilities, or the effects of Embargo or Magic Room. Fails if the user is not holding a Berry."
"Stun Spore",GRASS,STATUS,n/a,75%,30-48,"Paralyzes the target."
"Submission",FIGHTING,PHYSICAL,80,80%,20-32,"If the target lost HP, the user takes recoil damage equal to 1/4 the HP lost by the target, rounded half up, but not less than 1 HP."
"Substitute",NORMAL,STATUS,n/a,—,10-16,"The user takes 1/4 of its maximum HP, rounded down, and puts it into a substitute to take its place in battle. The substitute is removed once enough damage is inflicted on it, or if the user switches out or faints. Baton Pass can be used to transfer the substitute to an ally, and the substitute will keep its remaining HP. Until the substitute is broken, it receives damage from all attacks made by other Pokemon and shields the user from status effects and stat stage changes caused by other Pokemon. Sound-based moves and Pokemon with the Infiltrator Ability ignore substitutes. The user still takes normal damage from weather and status effects while behind its substitute. If the substitute breaks during a multi-hit attack, the user will take damage from any remaining hits. If a substitute is created while the user is trapped by a binding move, the binding effect ends immediately. Fails if the user does not have enough HP remaining to create a substitute without fainting, or if it already has a substitute."
"Subzero Slammer",ICE,PHYSICAL,1,—,1,"[Z-Move] requiring Icium Z"
"Sucker Punch",DARK,PHYSICAL,70,100%,5-8,"Usually moves first (priority +1)."
"Sunny Day",FIRE,STATUS,n/a,—,5-8,"For 5 turns, the weather becomes Sunny Day. The damage of Fire-type attacks is multiplied by 1.5 and the damage of Water-type attacks is multiplied by 0.5 during the effect. Lasts for 8 turns if the user is holding Heat Rock. Fails if the current weather is Sunny Day."
"Sunsteel Strike",STEEL,PHYSICAL,100,100%,5-8,"This move and its effects ignore the Abilities of other Pokemon."
"Supercell Slam",ELECTRIC,PHYSICAL,100,95%,15-24,"If this attack is not successful, the user loses half of its maximum HP, rounded down, as crash damage. Pokemon with the Magic Guard Ability are unaffected by crash damage."
"Super Fang",NORMAL,PHYSICAL,—,90%,10-16,"Deals damage to the target equal to half of its current HP, rounded down, but not less than 1 HP."
"Superpower",FIGHTING,PHYSICAL,120,100%,5-8,"Lowers the user's Attack and Defense by 1 stage."
"Supersonic",NORMAL,STATUS,n/a,55%,20-32,"Causes the target to become confused."
"Supersonic Skystrike",FLYING,PHYSICAL,1,—,1,"[Z-Move] requiring Flyinium Z"
"Surf",WATER,SPECIAL,90,100%,15-24,"Damage doubles if the target is using Dive."
"Surging Strikes",WATER,PHYSICAL,25,100%,5-8,"Hits three times. This move is always a critical hit unless the target is under the effect of Lucky Chant or has the Battle Armor or Shell Armor Abilities."
"Swagger",NORMAL,STATUS,n/a,85%,15-24,"Raises the target's Attack by 2 stages and confuses it."
"Swallow",NORMAL,STATUS,n/a,—,10-16,"The user restores its HP based on its Stockpile count. Restores 1/4 of its maximum HP if it's 1, 1/2 of its maximum HP if it's 2, both rounded half down, and all of its HP if it's 3. Fails if the user's Stockpile count is 0. The user's Defense and Special Defense decrease by as many stages as Stockpile had increased them, and the user's Stockpile count resets to 0."
"Sweet Kiss",FAIRY,STATUS,n/a,75%,10-16,"Causes the target to become confused."
"Sweet Scent",NORMAL,STATUS,n/a,100%,20-32,"Lowers the target's evasiveness by 2 stages."
"Swift",NORMAL,SPECIAL,60,—,20-32,"This move does not check accuracy."
"Switcheroo",DARK,STATUS,n/a,100%,10-16,"The user swaps its held item with the target's held item. Fails if either the user or the target is holding a Mail or Z-Crystal, if neither is holding an item, if the user is trying to give or take a Mega Stone to or from the species that can Mega Evolve with it, or if the user is trying to give or take a Blue Orb, a Red Orb, a Griseous Orb, a Plate, a Drive, or a Memory to or from a Kyogre, a Groudon, a Giratina, an Arceus, a Genesect, or a Silvally, respectively. The target is immune to this move if it has the Sticky Hold Ability."
"Swords Dance",NORMAL,STATUS,n/a,—,20-32,"Raises the user's Attack by 2 stages."
"Synchronoise",PSYCHIC,SPECIAL,120,100%,10-16,"The target is immune if it does not share a type with the user."
"Synthesis",GRASS,STATUS,n/a,—,5-8,"The user restores 1/2 of its maximum HP if Delta Stream or no weather conditions are in effect or if the user is holding Utility Umbrella, 2/3 of its maximum HP if the weather is Desolate Land or Sunny Day, and 1/4 of its maximum HP if the weather is Primordial Sea, Rain Dance, Sandstorm, or Snow, all rounded half down."
